cpe23Uri,lastModifiedDate,cpe_version,part,vendor,product,version,update,edition,language,sw_edition,target_sw,target_hw,other,Official_website
"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_7\""_firmware:*:*:*:*:*:*:*:*",2020-01-16T13:43Z,2.3,o,siemens,"simatic_hmi_comfort_outdoor_panels_7\""_firmware",*,*,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Asiemens%3Asimatic_hmi_comfort_outdoor_panels_7%5C""_firmware%3A*%3A*%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:h:siemens:simatic_hmi_comfort_outdoor_panels_7\"":-:*:*:*:*:*:*:*",2020-01-16T13:43Z,2.3,h,siemens,"simatic_hmi_comfort_outdoor_panels_7\""",-,*,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ah%3Asiemens%3Asimatic_hmi_comfort_outdoor_panels_7%5C""%3A-%3A*%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_15\""_firmware:*:*:*:*:*:*:*:*",2020-01-16T13:43Z,2.3,o,siemens,"simatic_hmi_comfort_outdoor_panels_15\""_firmware",*,*,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Asiemens%3Asimatic_hmi_comfort_outdoor_panels_15%5C""_firmware%3A*%3A*%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:h:siemens:simatic_hmi_comfort_outdoor_panels_15\"":-:*:*:*:*:*:*:*",2020-01-16T13:43Z,2.3,h,siemens,"simatic_hmi_comfort_outdoor_panels_15\""",-,*,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ah%3Asiemens%3Asimatic_hmi_comfort_outdoor_panels_15%5C""%3A-%3A*%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_4\""_firmware:*:*:*:*:*:*:*:*",2020-01-16T13:43Z,2.3,o,siemens,"simatic_hmi_comfort_panels_4\""_firmware",*,*,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Asiemens%3Asimatic_hmi_comfort_panels_4%5C""_firmware%3A*%3A*%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:h:siemens:simatic_hmi_comfort_panels_4\"":-:*:*:*:*:*:*:*",2020-01-16T13:43Z,2.3,h,siemens,"simatic_hmi_comfort_panels_4\""",-,*,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ah%3Asiemens%3Asimatic_hmi_comfort_panels_4%5C""%3A-%3A*%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:siemens:simatic_hmi_comfort_panels_22\""_firmware:*:*:*:*:*:*:*:*",2020-01-16T13:43Z,2.3,o,siemens,"simatic_hmi_comfort_panels_22\""_firmware",*,*,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Asiemens%3Asimatic_hmi_comfort_panels_22%5C""_firmware%3A*%3A*%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:h:siemens:simatic_hmi_comfort_panels_22\"":-:*:*:*:*:*:*:*",2020-01-16T13:43Z,2.3,h,siemens,"simatic_hmi_comfort_panels_22\""",-,*,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ah%3Asiemens%3Asimatic_hmi_comfort_panels_22%5C""%3A-%3A*%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_7\""_firmware:16:-:*:*:*:*:*:*",2021-05-26T14:08Z,2.3,o,siemens,"simatic_hmi_comfort_outdoor_panels_7\""_firmware",16,-,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Asiemens%3Asimatic_hmi_comfort_outdoor_panels_7%5C""_firmware%3A16%3A-%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_7\""_firmware:16:update1:*:*:*:*:*:*",2021-12-09T20:19Z,2.3,o,siemens,"simatic_hmi_comfort_outdoor_panels_7\""_firmware",16,update1,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Asiemens%3Asimatic_hmi_comfort_outdoor_panels_7%5C""_firmware%3A16%3Aupdate1%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_7\""_firmware:16:update2:*:*:*:*:*:*",2021-12-09T20:19Z,2.3,o,siemens,"simatic_hmi_comfort_outdoor_panels_7\""_firmware",16,update2,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Asiemens%3Asimatic_hmi_comfort_outdoor_panels_7%5C""_firmware%3A16%3Aupdate2%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_7\""_firmware:16:update3:*:*:*:*:*:*",2021-12-09T20:19Z,2.3,o,siemens,"simatic_hmi_comfort_outdoor_panels_7\""_firmware",16,update3,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Asiemens%3Asimatic_hmi_comfort_outdoor_panels_7%5C""_firmware%3A16%3Aupdate3%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_15\""_firmware:16:-:*:*:*:*:*:*",2021-05-26T13:29Z,2.3,o,siemens,"simatic_hmi_comfort_outdoor_panels_15\""_firmware",16,-,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Asiemens%3Asimatic_hmi_comfort_outdoor_panels_15%5C""_firmware%3A16%3A-%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_15\""_firmware:16:update1:*:*:*:*:*:*",2021-12-09T20:19Z,2.3,o,siemens,"simatic_hmi_comfort_outdoor_panels_15\""_firmware",16,update1,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Asiemens%3Asimatic_hmi_comfort_outdoor_panels_15%5C""_firmware%3A16%3Aupdate1%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_15\""_firmware:16:update2:*:*:*:*:*:*",2021-12-09T20:19Z,2.3,o,siemens,"simatic_hmi_comfort_outdoor_panels_15\""_firmware",16,update2,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Asiemens%3Asimatic_hmi_comfort_outdoor_panels_15%5C""_firmware%3A16%3Aupdate2%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_15\""_firmware:16:update3:*:*:*:*:*:*",2021-12-09T20:19Z,2.3,o,siemens,"simatic_hmi_comfort_outdoor_panels_15\""_firmware",16,update3,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Asiemens%3Asimatic_hmi_comfort_outdoor_panels_15%5C""_firmware%3A16%3Aupdate3%3A*%3A*%3A*%3A*%3A*%3A*"
"cpe:2.3:o:siemens:simatic_hmi_comfort_outdoor_panels_15\""_firmware:16:*:*:*:*:*:*:*",2021-05-26T13:29Z,2.3,o,siemens,"simatic_hmi_comfort_outdoor_panels_15\""_firmware",16,*,*,*,*,*,*,*,"https://nvd.nist.gov/products/cpe/search/results?namingFormat=2.3&keyword=cpe%3A2.3%3Ao%3Asiemens%3Asimatic_hmi_comfort_outdoor_panels_15%5C""_firmware%3A16%3A*%3A*%3A*%3A*%3A*%3A*%3A*"
